חודש,ריבית,אינפלציה,קרן תחילת תקופה,תשלום חודשי,"ע""ח קרן","ע""ח ריבית",הצמדה לקרן,הצמדה לריבית,פרעון מוקדם,קרן סוף תקופה
313,4.80%,0.00%,22872,525,433,91,0,0,0,nan
314,4.80%,0.00%,22439,525,435,90,0,0,0,nan
315,4.80%,0.00%,22004,525,437,88,0,0,0,nan
316,4.80%,0.00%,21568,525,438,86,0,0,0,nan
317,4.80%,0.00%,21129,525,440,85,0,0,0,nan
318,4.80%,0.00%,20689,525,442,83,0,0,0,nan
319,4.80%,0.00%,20247,525,444,81,0,0,0,nan
320,4.80%,0.00%,19804,525,445,79,0,0,0,nan
321,4.80%,0.00%,19358,525,447,77,0,0,0,nan
322,4.80%,0.00%,18911,525,449,76,0,0,0,nan
323,4.80%,0.00%,18462,525,451,74,0,0,0,nan
324,4.80%,0.00%,18011,525,453,72,0,0,0,nan
325,4.80%,0.00%,17558,525,454,70,0,0,0,nan
326,4.80%,0.00%,17104,525,456,68,0,0,0,nan
327,4.80%,0.00%,16648,525,458,67,0,0,0,nan
328,4.80%,0.00%,16190,525,460,65,0,0,0,nan
329,4.80%,0.00%,15730,525,462,63,0,0,0,nan
330,4.80%,0.00%,15268,525,464,61,0,0,0,nan
331,4.80%,0.00%,14804,525,465,59,0,0,0,nan
332,4.80%,0.00%,14339,525,467,57,0,0,0,nan
333,4.80%,0.00%,13872,525,469,55,0,0,0,nan
334,4.80%,0.00%,13402,525,471,54,0,0,0,nan
335,4.80%,0.00%,12931,525,473,52,0,0,0,nan
336,4.80%,0.00%,12458,525,475,50,0,0,0,nan
337,4.80%,0.00%,11984,525,477,48,0,0,0,nan
338,4.80%,0.00%,11507,525,479,46,0,0,0,nan
339,4.80%,0.00%,11028,525,481,44,0,0,0,nan
340,4.80%,0.00%,10548,525,482,42,0,0,0,nan
341,4.80%,0.00%,10065,525,484,40,0,0,0,nan
342,4.80%,0.00%,9581,525,486,38,0,0,0,nan
343,4.80%,0.00%,9094,525,488,36,0,0,0,nan
344,4.80%,0.00%,8606,525,490,34,0,0,0,nan
345,4.80%,0.00%,8116,525,492,32,0,0,0,nan
346,4.80%,0.00%,7624,525,494,30,0,0,0,nan
347,4.80%,0.00%,7130,525,496,29,0,0,0,nan
348,4.80%,0.00%,6633,525,498,27,0,0,0,nan
349,4.80%,0.00%,6135,525,500,25,0,0,0,nan
350,4.80%,0.00%,5635,525,502,23,0,0,0,nan
351,4.80%,0.00%,5133,525,504,21,0,0,0,nan
352,4.80%,0.00%,4629,525,506,19,0,0,0,nan
353,4.80%,0.00%,4123,525,508,16,0,0,0,nan
354,4.80%,0.00%,3615,525,510,14,0,0,0,nan
355,4.80%,0.00%,3104,525,512,12,0,0,0,nan
356,4.80%,0.00%,2592,525,514,10,0,0,0,nan
357,4.80%,0.00%,2078,525,516,8,0,0,0,nan
358,4.80%,0.00%,1561,525,518,6,0,0,0,nan
359,4.80%,0.00%,1043,525,520,4,0,0,0,nan
360,4.80%,0.00%,523,525,523,2,0,0,0,nan
361,0,0,0,0,0,0,0,0,0,nan
